Unnamed: 0,class1,class2,class3,class4,class5
0,0.30629777092424576,0.4847779540158082,0.1238397210853855,0.062068569606450213,0.023015984368110167
1,0.2538898246755214,0.5160913799970397,0.14589567731034694,0.06249561042983859,0.021627507587253552
2,0.20139995613109465,0.6027798927777978,0.12707950027727852,0.050491541223942935,0.01824910958988608
3,0.26148017635276394,0.4651689028066405,0.188452317557456,0.0607862850832169,0.0241123181999226
4,0.20273682086879924,0.625329674609587,0.11142707916262018,0.043700580476985725,0.016805844882007957
5,0.3159381942827781,0.4751215326127159,0.14280936159993635,0.046106013677456835,0.02002489782711277
6,0.2491286750196189,0.5526823725622767,0.12116259969449457,0.05602388085975259,0.021002471863857262
7,0.26148017635276394,0.4651689028066405,0.188452317557456,0.0607862850832169,0.0241123181999226
8,0.28461526292616385,0.3824981637132699,0.2518806646858899,0.05920713332402267,0.021798775350653818
9,0.27016899580145914,0.5172749586624757,0.14543965016153962,0.05041501532077567,0.01670138005374969
10,0.23916748575309515,0.5327237573698219,0.15603570720021784,0.050843859316309706,0.02122919036055541
11,0.20139995613109465,0.6027798927777978,0.12707950027727852,0.050491541223942935,0.01824910958988608
12,0.2704892654613409,0.5430305291109147,0.11517339331107443,0.05099861402923854,0.020308198087431537
13,0.27892659500971445,0.44430877573131533,0.19248933405888946,0.0600569937324866,0.02421830146759397
14,0.2414978802977637,0.5253488646308371,0.15700157741104154,0.05483048973121882,0.021321187929139018
15,0.2483576446150336,0.5393825863531286,0.1289306724511393,0.0630625439410707,0.02026655263962781
16,0.21398938390294195,0.5179883058759817,0.17078675858617648,0.07689595653148176,0.020339595103418186
17,0.2538898246755214,0.5160913799970397,0.14589567731034694,0.06249561042983859,0.021627507587253552
18,0.2368350541155309,0.5541193338236474,0.1357290815521046,0.05334678775663868,0.01996974275207828
19,0.22338460032122145,0.5348067375396982,0.14356656737477064,0.07577067839676759,0.022471416367542296
20,0.2754801598866455,0.517045050032207,0.12894611287842314,0.057732998334568165,0.020795678868156045
21,0.16594239800622865,0.3792394837239356,0.22521258369920125,0.19304328538841886,0.03656224918221563
22,0.20273682086879924,0.625329674609587,0.11142707916262018,0.043700580476985725,0.016805844882007957
23,0.2728569576201741,0.4701494864742227,0.18999437074104397,0.047153634828622414,0.01984555033593674
24,0.2758760371398874,0.5551011814979531,0.09790370199441803,0.0513640221007172,0.019755057267024555
25,0.20540226776344594,0.5860936021818224,0.13219516104973758,0.05331115546589037,0.022997813539103552
26,0.3438350573921309,0.3481867410672471,0.2311798444023936,0.054181171188882285,0.02261718594934604
27,0.33214412281722544,0.4661041110545749,0.12875414246533531,0.053295427524346614,0.01970219613851781
28,0.2177011415396079,0.595510453443384,0.12006461828896065,0.04734535325005322,0.019378433477994155
29,0.3265215805372251,0.4962550673894123,0.11650771384636355,0.04571918570402396,0.014996452522975068
30,0.2520127397165498,0.5437301141668504,0.12246960167491484,0.06008790621073501,0.02169963823094996
31,0.3157528413636221,0.4826606558974296,0.12901869387626655,0.05288447497646539,0.019683333886216323
32,0.2401624817375223,0.5263666525574598,0.1556142414024935,0.057417654512105676,0.020438969790418687
33,0.27969159746485284,0.447782157154404,0.1796645360583666,0.07021989233559486,0.0226418169867816
34,0.23705325195416566,0.5211478368492678,0.1585778391570953,0.06439876792262708,0.018822304116844275
35,0.2824856662503391,0.4977127998354095,0.13952431170802748,0.0596352249751183,0.02064199723110561
36,0.2966106964781488,0.470418282478137,0.15192330165513446,0.059698248663640686,0.021349470724939056
37,0.18675220811665816,0.6098528324912061,0.13553393439315242,0.04685530063626967,0.021005724362713567
38,0.1962943078240322,0.6079326310193098,0.10884877340365354,0.06796970687637822,0.018954580876626215
39,0.2948519003018843,0.5276953674561456,0.10500776486070272,0.055013299406621016,0.017431667974646254
40,0.2017591816110081,0.583687569518669,0.12530819251758948,0.0678965043266175,0.021348552026115908
41,0.28924793955419403,0.4518121370737148,0.17825129036961762,0.0603856143730508,0.02030301862942284
42,0.28718035441438194,0.526786355116626,0.10982310706407668,0.05637283743709474,0.01983734596782068
43,0.2705402476593232,0.5190140280139776,0.13000437680115967,0.060576151918684325,0.01986519560685521
44,0.21557782351657745,0.5516903571387192,0.1323374427412742,0.07577763878438956,0.024616737819039617
45,0.3016922785245776,0.5702803165666319,0.06403838826209884,0.04771788803041027,0.016271128616281258
46,0.2134681083257719,0.5617936444177829,0.1446741420191838,0.06074562774212789,0.019318477495133397
47,0.2805038690177842,0.5268165682009468,0.11732151007381525,0.057627746664554926,0.01773030604289875
48,0.3177447624787361,0.4555783955445509,0.13889275396128026,0.06400123414769285,0.023782853867739862
49,0.2711746728250346,0.5338000135942451,0.132336529926136,0.046200298986026095,0.016488484668558224
50,0.24172548264596785,0.5139888728974338,0.1610759986030028,0.06684093524839274,0.01636871060520299
51,0.3384836427756285,0.431965229089012,0.1557343388890204,0.055153285632445516,0.018663503613893604
52,0.2829781921686906,0.5078576472051619,0.13320105902112422,0.05698955929732556,0.01897354230769775
53,0.3845942238136489,0.4080500666592388,0.12825015916108345,0.05900102657500824,0.020104523791020682
54,0.3021187145826558,0.4855682912513887,0.13978588020640687,0.055027446603881265,0.01749966735566743
55,0.2652615167749908,0.5233745552925017,0.1416017353867051,0.04832070052092022,0.021441492024882252
56,0.27334343210411066,0.5400941831696721,0.11451687670028912,0.05446020237805522,0.017585305647873063
57,0.3337706993255903,0.5513800006803161,0.05946686601729796,0.042483844011542184,0.012898589965253504
58,0.2865835163031005,0.48466808271296596,0.15064956011966132,0.059358708196079975,0.018740132668192303
59,0.3177447624787361,0.4555783955445509,0.13889275396128026,0.06400123414769285,0.023782853867739862
60,0.2355188494502537,0.5409846727484184,0.12123050839326376,0.07679867813372054,0.02546729127434334
