,feature1,feature2,feature3,feature4,feature5
0,"('mujer', -0.2034909329031923)","('eje', 0.06919929979767171)","('ano', 0.010829291758283292)","('paz', -0.009716137946202961)","('comunidad', -0.0020712834940278873)"
1,"('asi', -0.18222254569543447)","('igual', 0.126597691880149)","('izquierda', 0.00023537858280677995)","('las', 0.00020514323414772055)","('consecuencias', 0.00018590744217288914)"
2,"('ciudad', 0.236853599205618)","('garzon', -0.14443868826796474)","('luis', -0.14369437503652385)","('asco', -0.14170636977250364)","('desorden', -0.07341326455913093)"
3,"('normas', -2.7173199335971183e-32)","('esto', 2.2621835287224553e-32)","('esta', 2.1380910295570915e-32)","('prohibido', 1.5835491449328555e-32)","('pero', 9.688370309733743e-33)"
4,"('bus', -0.17165276117105518)","('mal', -0.11310470447098478)","('nivel', 0.0841680488919896)","('ser', -0.06263049164147023)","('bien', -0.03388306069924417)"
5,"('ano', 0.06267666751337585)","('del', 7.002710981971536e-06)","('en', 6.175299215104152e-06)","('lo', 6.048660929482903e-06)","('corrido', 5.664528673377372e-06)"
6,"('superior', -0.15561923909470396)","('los', -0.0705971458893333)","('tribunal', -0.061806602166180474)","('ramon', -0.059631905076371894)","('mas', 0.02228061242213339)"
7,"('capital', -0.20155183284653475)","('mujer', -0.1041757137106515)","('corrupcion', 0.08075811275013506)","('politiqueria', 0.0005947353587770118)","('no', -0.000455654775808246)"
8,"('ningun', -0.2566540830913733)","('favor', -0.09343707322339043)","('varias', -0.0015795037222672993)","('nos', -0.001330921371344599)","('por', -0.0013184116520543092)"
9,"('son', 0.4193446767854964)","('grafitis', -0.26004025269803926)","('asco', -0.19915253858673568)","('dan', 0.12876909321924504)","('cai', 0.10735772665701451)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('sexual', -0.22135242537781244)","('los', -0.07444297599061336)","('anos', -0.011377086430097147)","('a', -0.0006713689228100406)","('y', -0.0006439991829852015)"
12,"('plan', -0.22978577974486109)","('capital', -0.10528001806644349)","('son', 0.09954811952987506)","('asi', -0.07194366906522122)","('lugar', -0.047756882427844566)"
13,"('mujer', -0.25664980426670225)","('dia', 0.18189045386071795)","('rodriguez', -0.09742461707489922)","('los', -0.07225441055968236)","('mas', 0.011062712707057986)"
14,"('atencion', -0.20786199918328496)","('los', -0.09984574095516455)","('persecucion', -0.04931997147576593)","('fontibon', 0.005543048930331841)","('banda', -0.0027182009691797647)"
15,"('militar', -0.4846608763413654)","('ahi', 0.12327472172549447)","('unal', 0.09848315342998479)","('vez', 0.030009417422625424)","('anos', 0.009216533135733118)"
16,"('inclusion', -0.19236972650466788)","('favor', -0.07015629154361165)","('los', -0.0630273021104606)","('uneb', -0.012848607276562935)","('mundial', -0.011601325042645612)"
17,"('vias', 0.20794476774299778)","('los', -0.08699393805417799)","('seguros', 0.00025075141511409567)","('cumplimiento', -0.00012781061039434196)","('de', -0.00010926660333430495)"
18,"('concejal', 0.2638862842036265)","('dic', -0.20872672519664426)","('loc', 0.18289911148065127)","('nov', -0.010173580140082664)","('atacaron', -0.0026913595238614845)"
19,"('hdp', 0.12244543070551368)","('feliz', 0.01955749277272307)","('celular', -0.006550191257556006)","('triste', -0.005071596774523477)","('intento', 0.002383818554839673)"
20,"('alcohol', 0.20389123378255758)","('s', 4.947800031049439e-05)","('en', 4.606598027277729e-05)","('u', 4.333046476457958e-05)","('eloina', 4.2347797639875536e-05)"
21,"('fin', -0.346233655434307)","('ciudad', 0.28127414547439283)","('los', -0.07315494975522661)","('van', -0.05562156449836256)","('a', 0.003035776152660969)"
22,"('veo', -0.07285715164779309)","('esos', -1.5830726889498787e-05)","('mismos', -1.3877032808806915e-05)","('buses', -1.130125747939473e-05)","('en', -8.47643509539775e-06)"
23,"('dia', 0.18934719152215632)","('lideres', -0.15720730341178846)","('pan', 0.08624318104417204)","('kennedy', -0.06935942751552131)","('videos', 0.0017156963704517223)"
24,"('farc', -0.27261136809916386)","('son', 0.14754948464195225)","('vean', -0.10349942607256825)","('los', -0.07257240874895528)","('cartel', -0.06974676122290374)"
25,"('celular', 0.3394576077481359)","('bus', -0.23412536570053433)","('tres', -0.036987402800210095)","('las', 0.0033497827292886225)","('media', -0.0024302951632011716)"
26,"('mujer', -0.10346214007466611)","('los', -0.08425244319924008)","('veo', -0.06128979957165639)","('mas', -0.003469537986502061)","('las', -0.0005801286253632471)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('muy', 0.0)","('seguramente', 0.0)","('el', 0.0)","('propietario', 0.0)","('esta', 0.0)"
29,"('celular', 0.23765469979338305)","('a', 5.296659737637915e-05)","('uno', 4.615479299178847e-05)","('cuando', 4.465991015203393e-05)","('lo', 3.9497380380833505e-05)"
30,"('tal', 0.2961910288104339)","('comparacion', -0.23702307836420874)","('los', -0.15894592365465174)","('ver', 0.07378997398125967)","('anos', 0.026768115877803297)"
31,"('mas', 0.0040337382003205555)","('que', 1.1918095854049206e-06)","('encantaria', 1.1436675952206233e-06)","('me', 8.530251465420341e-07)","('cada', 7.863820675911202e-07)"
32,"('van', -0.05634064924956864)","('homofobia', -1.4806224503056228e-05)","('de', -1.4157058731583292e-05)","('victimas', -1.2270363699973644e-05)","('hay', -1.0573373400022936e-05)"
33,"('tweet', 0.24078150262205184)","('cai', 0.09281228771735607)","('via', 0.08325242143180103)","('los', -0.03361498487810707)","('que', 0.0025129954334913544)"
34,"('son', 0.26825523007155483)","('gran', 0.14006408184539393)","('pero', 0.003858263979888289)","('causadas', -0.003268068803739448)","('con', 0.003194304429675755)"
35,"('los', -0.09615055848756474)","('en', -2.4699202608761703e-05)","('movilizarse', -2.2552885651212192e-05)","('bogota', -1.9088024606323327e-05)","('es', -1.2243817626155138e-05)"
36,"('ciudad', 0.23978674383747348)","('los', -0.045844570991664245)","('vial', 0.021555525861536314)","('implementadas', -0.0025443489584257065)","('movilidad', 0.002471015853795568)"
