,feature1,feature2,feature3,feature4,feature5
0,"('eje', 0.07049782902956764)","('paz', 0.0501939287340924)","('corporacion', 0.04039797554820371)","('erradicacion', 0.04003533732168841)","('ano', 0.011609320402914168)"
1,"('nos', 0.003879613698522647)","('asi', -0.0034401586767175436)","('igual', 0.0019933776162719867)","('izquierda', -4.453974337526838e-05)","('de', 3.611215262308469e-05)"
2,"('ciudad', 0.015775925403111207)","('asco', -0.015363606828406437)","('drogas', 0.010588567116940836)","('hpta', 0.010553109905146105)","('luis', -0.0055414410377933945)"
3,"('prohibido', -1.642078064409553e-34)","('normas', -1.2834337233881996e-34)","('pero', 1.036940719688375e-34)","('esta', 7.001600322598469e-35)","('esto', 5.194855713411958e-35)"
4,"('bus', -0.001920158136295992)","('nivel', 0.0013225783936411353)","('mal', -0.0011869459415983065)","('ser', -0.0008421295573549871)","('bien', 0.0005087036719767671)"
5,"('ano', 0.0008471205853079125)","('corrido', 8.023932318185034e-08)","('lo', 7.453587127764612e-08)","('del', 6.869982548560259e-08)","('en', -3.5083455604641314e-08)"
6,"('ramon', 0.010436114480613243)","('tribunal', 0.010356138858501555)","('superior', 0.007059267512880058)","('los', 0.0011494368576855365)","('efectuado', 0.00028699860180662147)"
7,"('mujer', -0.000675007027471571)","('capital', -0.0002599851082189394)","('corrupcion', 0.00023310791279378126)","('claramente', -2.0229448584451315e-06)","('fue', 9.383408595610988e-07)"
8,"('ningun', -0.004395792057079277)","('nos', 0.004273349436950508)","('favor', 0.0032064310053732206)","('habla', -9.468959951706479e-05)","('localidades', 7.700824857415423e-05)"
9,"('son', 0.006035593553015705)","('asco', -0.004024720719560637)","('grafitis', -0.002823963573723426)","('dan', -0.0020205287805910616)","('cai', -0.0015730220015915558)"
10,"('fleteo', -2.9282351466687762e-34)","('que', 1.5872746139754768e-34)","('comerciante', -1.0869178349638508e-34)","('joyitas', -5.18760002893909e-35)","('denuncia', -3.228702265414948e-35)"
11,"('sexual', -0.0017001228937300941)","('anos', -0.0006549893786117079)","('los', 0.00014966736758635255)","('a', -8.924003421912836e-06)","('se', -6.262679388755354e-06)"
12,"('son', 0.00844380170912222)","('asi', -0.003935107306304343)","('plan', -0.0033271572860858124)","('lugar', -0.0022836590905645293)","('capital', -0.00040236078840715064)"
13,"('dia', 0.0020474890660109914)","('mujer', -0.0010290200502916973)","('los', 0.0003544007430381826)","('rodriguez', 0.00035330005238335213)","('defensora', -5.4766894627345695e-06)"
14,"('fontibon', 0.02839945780922096)","('persecucion', 0.01787402298727215)","('atencion', 0.010479825035340779)","('los', 0.0016704639509600662)","('hurtos', -0.0006511459824954056)"
15,"('militar', -0.005655611300064279)","('unal', 0.0037777630295864105)","('anos', -0.0010275163518974303)","('vez', -0.00099676186180887)","('ahi', -0.0003206411359173646)"
16,"('uneb', 0.011610768895526298)","('inclusion', 0.011345137298922411)","('favor', 0.008639945730362857)","('mundial', 0.0014380722633656716)","('los', 0.0012293234078560162)"
17,"('vias', 0.003517325310259245)","('los', 0.0004402359706053262)","('las', 3.88005553398261e-06)","('con', -2.9560683628084703e-06)","('el', -2.8840797607746306e-06)"
18,"('dic', -0.003015113430606957)","('concejal', 0.001961481362771437)","('nov', -0.0009478327613415788)","('loc', -0.00022674077508871363)","('entre', -4.988676775037928e-05)"
19,"('feliz', 0.05420867337994128)","('hdp', 0.053211638989811454)","('celular', 0.027701715759569187)","('y', -0.0012920056989240956)","('no', -0.0011530211941990123)"
20,"('drogas', 0.005330718630676612)","('alcohol', 0.0027468477819290425)","('calle', -2.489885292991248e-05)","('consumo', -1.4534234859022485e-05)","('oportunidades', -1.389677584110837e-05)"
21,"('ciudad', 0.00841920892441589)","('fin', -0.004841075775850696)","('van', 0.001802150071805071)","('los', 0.0006241844939311502)","('se', 0.00011569420969586056)"
22,"('veo', 0.0010603355349279116)","('buses', 2.5074139853625584e-07)","('mismos', 2.435191529741864e-07)","('esos', 2.1687314519187915e-07)","('en', 1.660965977697538e-07)"
23,"('pan', 0.011373947512585532)","('lideres', 0.0113285912927181)","('dia', 0.007259830443978063)","('kennedy', 0.0033143662712333895)","('motocicleta', 0.00018345005633446914)"
24,"('farc', -0.023258904353483233)","('son', 0.021868434068778243)","('cartel', 0.011705002142327559)","('vean', 0.0020264832349693156)","('los', 0.0018183764639676636)"
25,"('bus', -0.0032363260826654876)","('celular', 0.002539308135951551)","('tres', 0.0006043692402048224)","('hombre', 0.00031598708485511273)","('llegue', -4.607833235621143e-05)"
26,"('veo', 0.0009739606842075099)","('mujer', -0.0008421540675708955)","('los', 0.0002888821295799658)","('mas', -9.650231980134923e-06)","('encima', -3.2981881638661725e-06)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('seguramente', 2.445245153029414e-34)","('propietario', 7.957252014472449e-35)","('esta', 7.193512746480088e-35)","('el', -5.073792435886047e-35)","('muy', 3.089770727528599e-35)"
29,"('celular', 0.0032368493360295817)","('a', 8.854809298945349e-07)","('uno', 7.182154359166227e-07)","('cuando', 5.235485006740112e-07)","('lo', 3.5245651998844207e-07)"
30,"('tal', 0.01038570716041352)","('anos', -0.0030595253172982905)","('sin', -0.0014360799567019807)","('los', 0.0007981549192680411)","('ver', 0.0007785108856105302)"
31,"('mas', -9.98320909055988e-06)","('cada', -2.1973320819021044e-09)","('que', -1.987031389742044e-09)","('encantaria', -1.9800417467284393e-09)","('me', -1.895138441008874e-09)"
32,"('van', 0.0009390284955911703)","('homofobia', 2.454682338671763e-07)","('de', 2.112206720013058e-07)","('victimas', 1.920412635738151e-07)","('hay', 1.7507013788285994e-07)"
