,class1,class2,class3,class4,class5
0,0.029387708543695552,0.21523429033901156,0.3126550216649578,0.36881401087202625,0.07390896858030885
1,0.026214825894140238,0.5592677846085014,0.27862648785781746,0.1197469822229604,0.016143919416580502
2,0.29276203132437983,0.3827158341685054,0.2076003475504151,0.09296750133666296,0.02395428562003672
3,0.042786343893344105,0.5414210407077635,0.28281943891528066,0.10427876588048368,0.0286944106031281
4,0.045295122456021034,0.8187250128692863,0.08939097322957774,0.0392031267609643,0.00738576468415051
5,0.12672411732771646,0.21479089007167596,0.32623023129938344,0.2998472927378846,0.03240746856333965
6,0.13322234756762316,0.532211492461332,0.22583470230238953,0.08646443722568622,0.02226702044296902
7,0.017133632589667297,0.538923181595654,0.1319247539352881,0.2572463242688685,0.054772107610522064
8,0.01611204820386305,0.6377749144311559,0.25369721447677385,0.07849289238861765,0.013922930499589538
9,0.053286580684685836,0.5514040442248379,0.3302863799908233,0.04614001293960032,0.018882982160052682
10,0.042786343893344105,0.5414210407077635,0.28281943891528066,0.10427876588048368,0.0286944106031281
11,0.03861338109486947,0.6717099901635328,0.10872313765387842,0.15591796193039914,0.02503552915732016
12,0.01803738607550777,0.6976314538071956,0.13683197982851858,0.12947139168081453,0.018027788607963377
13,0.016568108534763447,0.35654343732555344,0.2076872400524371,0.38231810532365806,0.036883108763587885
14,0.0470009461806873,0.4569989750120728,0.17870502985453277,0.21264539667149418,0.10464965228121283
15,0.02117734085839349,0.6617262042601051,0.21781698992410914,0.07686657140634344,0.022412893551048817
16,0.024668820848392087,0.4058562503886186,0.2005522259578701,0.3515907573091185,0.017331945496000728
17,0.031407735202382235,0.379722785049209,0.33847264170976415,0.2105435807798933,0.03985325725875127
18,0.027561906424033653,0.600446437921728,0.3133486144586292,0.043454150955537174,0.015188890240072006
19,0.03653601591232491,0.05797266347222741,0.6839388583565366,0.20617905109019194,0.01537341116871935
20,0.03367165615202522,0.4734559344293912,0.41073143911069865,0.058613300749253694,0.023527669558631246
21,0.02404831464383482,0.4838235979675874,0.2940138664373717,0.17794312042150578,0.02017110052970022
22,0.026997623912850204,0.6210824537818241,0.2636401672770721,0.06570880839197821,0.022570946636275378
23,0.11804504352289792,0.22574211927329088,0.49220134200524707,0.12111398416910914,0.04289751102945497
24,0.1338588061671925,0.5111494073622597,0.2502584659702202,0.08249779514933181,0.022235525350995957
25,0.05443888741119353,0.5469835510202425,0.2716322215836973,0.10798575526274487,0.018959584722121732
26,0.017400267906055117,0.6131707400302898,0.19213233658697845,0.14871652788212622,0.028580127594550486
27,0.042786343893344105,0.5414210407077635,0.28281943891528066,0.10427876588048368,0.0286944106031281
