,feature1,feature2,feature3,feature4,feature5
0,"('mujer', 0.04821913943383353)","('paz', 0.03525088877901625)","('ano', 0.004115866219357056)","('alli', -0.003943304231252249)","('eje', -0.0015683978386048562)"
1,"('asi', -0.005896944543581424)","('igual', -0.0011597222848635962)","('por', -1.2115366901591516e-05)","('no', -1.0648264802179208e-05)","('algo', 9.324964118015467e-06)"
2,"('aqui', -0.0034255461564372852)","('ciudad', -0.0028982744812171657)","('hpta', 0.0015616440327352213)","('luis', 0.0006182065687194864)","('asco', -0.00033657693625117717)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('mal', -0.004420049530603999)","('ser', -0.0032342654495756597)","('bien', -0.0028091352321153867)","('nivel', -0.0015513509500937927)","('bus', -0.0011812088738860297)"
5,"('ano', 0.0037414580304942244)","('lo', 6.110336488431499e-07)","('del', 4.2906766228075395e-07)","('en', 9.87828083634024e-08)","('corrido', 9.030116535619669e-08)"
6,"('mas', -0.0072247102361569495)","('superior', -0.0017966177306556314)","('tribunal', 0.0006598916307675625)","('ramon', 0.0006423743003058091)","('los', 6.814662936418975e-05)"
7,"('mujer', 0.015461657217736437)","('capital', 0.007694851167841322)","('corrupcion', -0.003820088549111608)","('complice', 6.97255073083218e-05)","('un', -4.415684353981754e-05)"
8,"('favor', -0.006939677082205667)","('ningun', -0.002841569810845732)","('por', -2.0429403447524223e-05)","('lado', -2.0334107574133106e-05)","('nos', 1.2396547853452216e-05)"
9,"('dan', -0.004287638256199116)","('son', -0.0014678110122910905)","('grafitis', -0.0012139813823993466)","('asco', 0.000362789088134989)","('los', 7.983001344853866e-05)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('anos', -0.0042360251500579696)","('sexual', 0.003805216552612286)","('los', 5.069212204872244e-05)","('denuncias', 1.55320211893036e-05)","('registraron', 1.005813520246074e-05)"
12,"('asi', -0.006646744681976459)","('capital', 0.003975372000469751)","('lugar', -0.002698423542997555)","('plan', -0.0009414568653514417)","('son', -0.00036372390321170317)"
13,"('mujer', 0.025519338920028247)","('mas', -0.014015481946780026)","('dia', -0.00312182510494756)","('rodriguez', -0.0007064177727180964)","('secretaria', 0.00017580698490914966)"
14,"('persecucion', 0.02085238590583717)","('fontibon', 0.02035270371123939)","('atencion', 0.010426376697638084)","('los', 0.0003290747567888585)","('menos', 0.00018614452080252476)"
15,"('anos', -0.003634709440182763)","('vez', 0.0034764809046188114)","('ahi', -0.002397381886038952)","('militar', -0.0019197284694872942)","('unal', -0.00041643317705317834)"
16,"('mas', -0.01192855887028349)","('favor', -0.003139150884445264)","('inclusion', 0.0008397840102141541)","('mundial', 0.00034416786084886375)","('uneb', 0.0003300425621129907)"
17,"('vias', 0.005773709596156923)","('los', 0.00017043793744858245)","('en', 2.8965180583920807e-06)","('normas', -1.0978471384767612e-06)","('entre', -2.94656006877692e-07)"
18,"('dic', -0.0035248187207156706)","('concejal', -0.002174119951308966)","('loc', -0.0006972872043130024)","('nov', -0.0003371128828680492)","('colegio', -1.5202881242397776e-05)"
19,"('celular', -0.006718685386855622)","('hdp', -0.0011524981943554036)","('feliz', -0.0007986560010743763)","('triste', 7.938084358802732e-06)","('el', 6.211475301795952e-06)"
20,"('alcohol', -0.002519943132981652)","('eloina', -6.462841093399845e-07)","('en', -6.056207713018836e-07)","('u', -5.550780413259536e-07)","('s', -4.5476913067329104e-07)"
21,"('van', -0.00223284268794976)","('ciudad', -0.0013399202590897818)","('fin', -0.001088584597631609)","('los', 0.00010689140532072119)","('se', 7.595622480023078e-06)"
22,"('veo', -0.0015497381084700274)","('buses', -3.3459224721051917e-07)","('mismos', -2.9321594394424033e-07)","('esos', -2.5872235845529933e-07)","('en', -1.8369530617905488e-07)"
23,"('kennedy', 0.00732552557738219)","('dia', -0.0033814653672063)","('lideres', 0.0023828796282265624)","('pan', -0.0016724658078377658)","('tienen', -2.3271547634173748e-05)"
24,"('ver', -0.0018509769054842985)","('son', -0.0008344465480751808)","('vean', 0.000716852674682431)","('estas', -0.0006448617267841435)","('cartel', -0.000493537999778654)"
25,"('celular', -0.0055889968241824885)","('tres', 0.0019108921140375526)","('bus', -0.0011406908227179263)","('hombre', -0.0002176620777976842)","('empujen', -3.9176834469154237e-05)"
26,"('mujer', 0.01096355674400248)","('mas', -0.01016093428313428)","('veo', -0.0016456691050684355)","('escandalo', 9.094408994323053e-05)","('los', 7.397680424529132e-05)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('muy', 1.8364389735913214e-33)","('esta', 1.269432982841746e-33)","('propietario', -8.925103749814575e-34)","('el', -6.708061818209343e-34)","('seguramente', 2.66469362990552e-34)"
29,"('celular', -0.00638111079866549)","('cuando', -1.2812342909874545e-06)","('lo', -1.2004571274131342e-06)","('a', -1.0753106317727302e-06)","('uno', -8.646950001757308e-07)"
30,"('comparacion', 0.005269294426805372)","('anos', -0.003538779900429424)","('sin', -0.002156127937515711)","('ver', -0.0017252197123518822)","('tal', -0.0014474404730931614)"
31,"('mas', -0.007376025524141324)","('cada', -1.952046207449762e-06)","('que', -1.6998293183307124e-06)","('encantaria', -1.6205029135889853e-06)","('me', -1.6035492249404173e-06)"
32,"('van', -0.002375509518570166)","('de', -6.22503218208316e-07)","('homofobia', -5.407132400201672e-07)","('victimas', -5.230717247687839e-07)","('hay', -4.0660271719103485e-07)"
33,"('via', 0.0025210681095045287)","('tweet', -0.0010719736733479062)","('demostracion', -0.00018189705725092854)","('los', 0.00012931512166703082)","('cai', 6.933047667722998e-05)"
34,"('gran', -0.004191288477976938)","('son', -0.002396091361567586)","('muchos', 2.302543172959747e-05)","('minimo', -1.780716705962257e-05)","('un', -1.7704551744988814e-05)"
35,"('los', 0.00010796535027279326)","('bogota', 2.514604749145314e-08)","('es', 2.4425763044258134e-08)","('movilizarse', 2.3195393401212514e-08)","('en', 1.4307750708496025e-08)"
36,"('ciudad', -0.0021536077451528622)","('vial', 0.0013254346399597574)","('los', 0.0001724400623021962)","('mejorar', 1.499966411852726e-05)","('la', 9.692151600110979e-06)"
37,"('menor', -0.00467984618456144)","('fue', -8.12036987547103e-07)","('atacado', -6.872065742329712e-07)","('tijeras', -5.545057682165145e-07)","('con', -3.7275122949286736e-07)"
38,"('en', 1.4025768558815829e-33)","('las', 1.0841857889077243e-33)","('trabajamos', -8.072795221006057e-34)","('que', 7.510854083277016e-34)","('para', -4.863600894311961e-34)"
39,"('esmad', -0.005678280907609309)","('usen', -0.00044159090686954263)","('criminales', -6.143798119314854e-06)","('autonomia', 2.478462992448152e-06)","('entre', 1.448896031544529e-06)"
40,"('menor', -0.005626283788147093)","('capital', 0.004928736730612489)","('horror', -0.0011720659614625547)","('caso', 3.507208531613035e-05)","('en', 2.9780498065440443e-05)"
41,"('arma', -0.002806395024651317)","('ruin', -0.0006145397853703953)","('es', -7.688461699411267e-07)","('poco', -6.6716903935146e-07)","('incultas', -5.754205975144872e-07)"
42,"('ciudad', -0.0017100324588085205)","('los', 0.0001188307676997809)","('falta', -6.452963226815845e-07)","('si', -6.049185301333184e-07)","('donde', -1.4702698798240317e-07)"
43,"('dira', 1.643944199930085e-33)","('policia', 1.1130977912262504e-33)","('como', -7.322025178675254e-34)","('la', -6.626739630343507e-34)","('que', -1.352165923182225e-34)"
44,"('estan', -0.00821659528783826)","('buen', 0.0032600570596090428)","('bus', -0.0021060393577405734)","('los', 6.358370640442327e-05)","('a', 2.3691041113271473e-05)"
