,feature1,feature2,feature3,feature4,feature5
0,"('mujer', -0.007893600692012162)","('ano', -0.0036541748944083894)","('erradicacion', 0.0034072947739968024)","('corporacion', 0.0033611272075996933)","('eje', 0.002597809648073384)"
1,"('asi', -0.00867499503759061)","('nos', 0.006988086592461241)","('igual', -0.004237858654079255)","('no', 9.964751207828775e-05)","('las', 8.013145403839077e-05)"
2,"('drogas', 0.0031738452190216504)","('aqui', -0.00302709777323228)","('hpta', 0.0028711831117794193)","('los', 0.001683663242065588)","('ciudad', -0.0016800615002074166)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('bus', -0.002534466337777701)","('mal', -0.002291521808490975)","('ser', -0.0019172009118990259)","('bien', -0.0018579412484128197)","('indignacion', 0.000730199298709832)"
5,"('ano', -0.00871671579661615)","('lo', -7.025672026707105e-07)","('corrido', -5.340225683327297e-07)","('en', -5.059644849734218e-07)","('del', -2.3647107467390016e-07)"
6,"('mas', -0.00909394722769074)","('ramon', 0.004585922027156347)","('tribunal', 0.004553444308102859)","('los', 0.0026351837583602853)","('superior', -0.0009134149329272834)"
7,"('mujer', -0.0061003619977748925)","('corrupcion', -0.0009900233433009198)","('capital', 0.000452563724279219)","('fue', -9.329867927940403e-05)","('de', -9.195946495161885e-05)"
8,"('favor', -0.009863129238112778)","('nos', 0.005212147959690366)","('ningun', -0.0045226524901641795)","('localidades', -0.00012556245706328605)","('danaron', 0.00010649290439782148)"
9,"('dan', -0.005544589205616919)","('son', 0.005110122604801566)","('los', 0.0022701771877905487)","('cai', -0.0011596682230594903)","('asco', -0.0004305488496681403)"
10,"('joyitas', -9.543178245153062e-34)","('que', 7.89653021973069e-34)","('denuncia', 6.063736397428671e-34)","('comerciante', -2.500630324448607e-34)","('fleteo', -1.998559585847665e-34)"
11,"('anos', -0.0075303198479635255)","('los', 0.005858853228710944)","('sexual', -0.00547237303415313)","('de', -0.00020303217325389963)","('intrafamiliar', 2.927711202521994e-05)"
12,"('asi', -0.006261997566148195)","('son', 0.0037503866707138647)","('plan', -0.0014940021391640754)","('lugar', -0.0011058651379168686)","('capital', -0.0002151994659268699)"
13,"('mujer', -0.005103379198320011)","('mas', -0.004935976197720958)","('dia', -0.0036679621070538817)","('los', 0.003356957268585026)","('rodriguez', 0.002925995435207442)"
14,"('persecucion', 0.008824713042031886)","('fontibon', 0.0067160072971935965)","('atencion', -0.00439159117837225)","('los', -0.0014699677988423035)","('de', -0.00013503301159454456)"
15,"('anos', -0.004839849887025868)","('unal', 0.004658317786607039)","('ahi', -0.0029612528329781055)","('vez', -0.0023451055031841936)","('militar', -0.0017201976861215237)"
16,"('mas', -0.011057616774831296)","('favor', -0.005178152574414565)","('uneb', 0.003527211417673748)","('inclusion', 0.003036249819250521)","('los', 0.0025132928104621044)"
17,"('vias', -0.005323880686024162)","('los', 0.004877191347756873)","('aseguramos', -2.0369795904311757e-05)","('transito', 1.5792191675737972e-05)","('en', -1.3742801538508978e-05)"
18,"('dic', -0.004981560110449161)","('nov', 0.0024705194917472814)","('loc', -0.001844986780495004)","('concejal', -0.001660338811969557)","('usuga', -6.615117779995198e-05)"
19,"('celular', -0.007199579400364185)","('hdp', 0.00357250075013237)","('feliz', 0.0028930684295074725)","('el', 4.5124601966510496e-05)","('lograron', -2.9976524487567237e-05)"
20,"('drogas', 0.007408204019385325)","('alcohol', -0.005211674374503835)","('esta', 1.1492565823105947e-05)","('falta', -8.73677472442773e-06)","('ni', 8.344401081153893e-06)"
21,"('van', -0.004864582124778399)","('los', 0.003966921188915816)","('fin', -0.003859253629866573)","('ciudad', 0.0003426951746065567)","('con', -6.887249952571964e-05)"
22,"('veo', -0.004263816475460831)","('esos', -8.790496528404988e-07)","('buses', -7.387750057547963e-07)","('en', -6.643525784527088e-07)","('mismos', -6.212641026551518e-07)"
23,"('dia', -0.008369584477024641)","('lideres', 0.0053030469726037645)","('pan', 0.0021197258349125)","('de', -7.171800509953498e-05)","('motocicleta', -3.190756356122334e-05)"
24,"('ver', -0.0063972527947370045)","('cartel', 0.0031185886309593185)","('son', 0.0022394834213619436)","('los', 0.0019554049878830367)","('estas', 0.001784530893539455)"
25,"('bus', -0.006614143966561891)","('hombre', 0.004615694179174781)","('tres', -0.003211091855675939)","('celular', -0.002414282187179625)","('de', 0.0001375114058800576)"
26,"('mas', -0.006644912515213331)","('los', 0.004854143371861999)","('mujer', -0.004330572288815476)","('veo', -0.00032209116216998804)","('cuando', 7.32159580550202e-05)"
27,"('denuncian', 2.6113053551158882e-33)","('nuevo', 2.513396213423402e-33)","('de', 2.3199714444610377e-33)","('caso', 2.042527318827223e-33)","('intento', 1.1170151864702629e-33)"
28,"('muy', 0.0)","('seguramente', 0.0)","('el', 0.0)","('propietario', 0.0)","('esta', 0.0)"
29,"('celular', -0.008501357440373936)","('a', -2.12698995631165e-06)","('uno', -1.7615630564474617e-06)","('cuando', -1.7452344979750274e-06)","('lo', -1.53924128576008e-06)"
30,"('anos', -0.005206498817738442)","('tal', 0.00457517142324182)","('ver', -0.004201256011497054)","('los', 0.0038293978911618396)","('comparacion', 0.0029615457305820062)"
31,"('mas', -0.015508324182509055)","('encantaria', -4.275647926470679e-06)","('me', -3.931532567843578e-06)","('que', -3.1379298417524793e-06)","('cada', -2.5554360895703946e-06)"
32,"('van', -0.009304948930454983)","('de', -2.3683700074980306e-06)","('victimas', -2.352202745781307e-06)","('hay', -2.3509708318855206e-06)","('homofobia', -2.2616494216476707e-06)"
33,"('via', -0.0064620929359015394)","('demostracion', 0.003141813428840673)","('los', 0.0028010705683132815)","('tweet', 0.0017201559516515415)","('cai', -0.0016989827454076474)"
34,"('son', 0.0045995863426610255)","('gran', -0.0016925741097763925)","('caso', 1.7470248365376585e-05)","('de', -1.711608043389454e-05)","('el', -1.535060166102233e-05)"
35,"('los', 0.004238127110332159)","('movilizarse', 9.504168171535579e-07)","('en', 7.443603946444155e-07)","('bogota', 7.313067830246538e-07)","('es', 6.60077378516404e-07)"
36,"('los', 0.00403435920773721)","('ciudad', -0.0014819931037280164)","('vial', -0.0010554548124656164)","('bicicletas', 2.2085428648019074e-05)","('avances', 1.1777155275475755e-05)"
