,feature1,feature2,feature3,feature4,feature5
0,"('paz', -0.16309807131513793)","('eje', -0.1579412754059344)","('corporacion', -0.10377323036996029)","('erradicacion', -0.10283296358741287)","('mujer', 0.07187250743578662)"
1,"('asi', 0.1989395278842854)","('nos', -0.15227959754468473)","('bogota', -0.0008051590521170106)","('se', 0.0006768212690959815)","('acaba', 0.0006277897143851632)"
2,"('hpta', -0.1575093369900726)","('drogas', -0.09856057268296392)","('desorden', -0.07209963455767926)","('ciudad', -0.06358647033632274)","('luis', -0.04833766406962735)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('mal', 0.12886309056252324)","('bus', 0.09027473969106424)","('ser', 0.0507642424087174)","('unas', 0.02749651081836666)","('nivel', -0.015284278893376363)"
5,"('ano', -0.007583529708538681)","('lo', -5.95145570594095e-07)","('en', -5.166626604484885e-07)","('del', -4.936952754916991e-07)","('corrido', -2.1315009148190845e-07)"
6,"('ramon', -0.20563268564742507)","('tribunal', -0.20512550497230564)","('mas', 0.1414654810359889)","('superior', -0.02748990470400452)","('los', -0.018930927288621686)"
7,"('corrupcion', 0.08622417235321268)","('mujer', 0.07464608593829315)","('capital', 0.0235879268456351)","('ni', 0.0005217918405495221)","('politiqueria', -0.00032419054114296537)"
8,"('ningun', 0.2294489698535347)","('nos', -0.1339419756913294)","('favor', -0.05903207560633512)","('visto', -0.0009386628065486091)","('informe', 0.0008347644964279278)"
9,"('son', -0.5166987851298773)","('dan', 0.18968400672679275)","('asco', 0.11958019499303295)","('grafitis', 0.11042965926036626)","('cai', 0.07744270615786045)"
10,"('fleteo', 4.301708202611355e-32)","('que', 4.0809839046622135e-32)","('comerciante', -1.058853803149047e-32)","('joyitas', -9.15304037630698e-33)","('denuncia', 8.668591011373183e-33)"
11,"('anos', 0.13862695655404603)","('sexual', 0.1331873810907683)","('los', -0.0047742513993571005)","('en', 0.0009230278420104343)","('presentaron', -0.0006567027482498585)"
12,"('son', -0.25696786702023616)","('asi', 0.16814866528395994)","('lugar', 0.13511430446194247)","('plan', 0.0977322019040878)","('capital', 0.022301065398052294)"
13,"('mujer', 0.12118350651109382)","('mas', 0.08594317110192107)","('rodriguez', -0.05866208148980619)","('dia', 0.03851287212214921)","('los', -0.006471055002893149)"
14,"('fontibon', -0.19343761278796337)","('persecucion', -0.15281582563340185)","('atencion', -0.0735031884621149)","('los', -0.0482750538656444)","('ladrones', -0.0034339971740603398)"
15,"('militar', 0.25920714967535013)","('unal', -0.13613353441118498)","('anos', 0.08640957141100226)","('vez', 0.07726863601085449)","('ahi', 0.05549323307052621)"
16,"('inclusion', -0.278660929118691)","('uneb', -0.23037937499190078)","('mas', 0.1510602250739765)","('mundial', -0.08575170452287212)","('favor', 0.05143943212781211)"
17,"('vias', -0.0845065525935242)","('los', -0.004472874374164893)","('entre', -0.0001997897124025259)","('ninos', -0.00017907484154874946)","('en', 0.00012522780872209008)"
18,"('dic', 0.2180181325447834)","('nov', 0.06944338737627581)","('loc', 0.06012147885382051)","('concejal', -0.046124505441558834)","('ninos', -0.0009501915917748489)"
